"","X","X.1","nr","Artikelid","Varnummer","Namn","Namn2","Prisinklmoms","Pant","Volymiml","PrisPerLiter","Saljstart","Slutlev","Varugrupp","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Leverantor","Argang","Provadargang","Alkoholhalt","Sortiment","Ekologisk","Koscher","RavarorBeskrivning","fyllighet","stravhet","fruktsyra","druva","smak","doft","real_score","RCGY_predicted","bar_predicted"
"25",25,554,1235701,11070,12357,"Brunello di Montalcino","Col dâ€™Orcia",269,NA,750,358.67,"1996-08-12",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Toscana. Brunello di Montalcino","Italien","Col d'Orcia","Carovin AB",2009,2009,"14.5%","FS",0,0,"Brunello (sangiovese grosso).","9 ","9 ","10","Brunello.(sangiovese.grosso)","nyanserad.utvecklad.smak.fatkaraktär.inslag.torkade.körsbär.tobak.tranbär.choklad.salvia ","Nyanserad.utvecklad.doft.fatkaraktär.inslag.torkade.körsbär.choklad.röda.salvia",99,4.25,7.77777777777778
"26",26,555,1235702,272743,12357,"Brunello di Montalcino","",150,NA,375,400,"2007-10-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Toscana. Brunello di Montalcino","Italien","Col d'Orcia","Carovin AB",2009,2009,"14%","FS",0,0,"Brunello (sangiovese grosso).","9 ","9 ","10","Brunello.(sangiovese.grosso)","nyanserad.utvecklad.smak.fatkaraktär.inslag.torkade.körsbär.tobak.tranbär.choklad.salvia ","Nyanserad.utvecklad.doft.fatkaraktär.inslag.torkade.körsbär.choklad.röda.salvia",99,4.25,7.77777777777778
"27",27,556,1236301,11255,12363,"Amarone Classico","",195,NA,750,260,"1996-09-02",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella. Amarone della Valpolicella Classico","Italien","Ca' Montini","The WineAgency Sweden AB",2011,2011,"15%","FS",0,0,"Corvina veronese. rondinella. molinara.","9 ","8 ","9 ","Corvina.veronese.rondinella.molinara","kryddig.aningen.utvecklad.smak.inslag.torkade.körsbär.mörk.choklad.pinjenötter.romrussin.örter ","Kryddig.utvecklad.doft.inslag.torkade.körsbärromrussin.choklad.vanilj.pinjenötter",99,3.75,6.69444444444444
"28",28,557,1236302,166504,12363,"Amarone Classico","",99,NA,375,264,"2005-10-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella. Amarone della Valpolicella Classico","Italien","Ca' Montini","The WineAgency Sweden AB",2011,2011,"15%","FS",0,0,"Corvina veronese. rondinella. molinara.","9 ","8 ","9 ","Corvina.veronese.rondinella.molinara","kryddig.aningen.utvecklad.smak.inslag.torkade.körsbär.mörk.choklad.pinjenötter.romrussin.örter ","Kryddig.utvecklad.doft.inslag.torkade.körsbärromrussin.choklad.vanilj.pinjenötter",99,3.75,6.69444444444444
"29",29,558,1236601,11261,12366,"Capitel de'Roari","Amarone",189,NA,750,252,"1996-10-07",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella","Italien","Luigi Righetti","janake wine group AB",2011,2011,"15%","FS",0,0,"","9 ","10","10","Ingen anged","kryddig.aningen.utvecklad.smak.fatkaraktär.inslag.körsbär.blåbär.salvia.korinter.kakao ","Kryddig.aningen.utvecklad.doft.fatkaraktär.inslag.torkade.körsbär.russin.salvia.choklad.kanel",99,3.75,7.44444444444444
"30",30,559,1236602,163432,12366,"Capitel de'Roari","Amarone",95,NA,375,253.33,"2005-10-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella","Italien","Luigi Righetti","janake wine group AB",2011,2011,"15%","FS",0,0,"","9 ","10","10","Ingen anged","kryddig.aningen.utvecklad.smak.fatkaraktär.inslag.körsbär.blåbär.salvia.korinter.kakao ","Kryddig.aningen.utvecklad.doft.fatkaraktär.inslag.torkade.körsbär.russin.salvia.choklad.kanel",99,3.75,7.44444444444444
"31",31,560,1237801,15603,12378,"Prego Rosso","",59,NA,1000,59,"1998-05-04",NA,"Rott vin. Mjukt & Barigt","Papp","","","Italien","Cantine Settesoli","Nigab",NA,NA,"13.5%","FS",0,0,"","5 ","4 ","9 ","Ingen anged","bärig.smak.inslag.mörka.körsbär.vanilj ","Bärig.doft.inslag.mörka.lakrits",99,NA,3.41666666666667
"32",32,561,1237901,545091,12379,"Castelforte","Amarone della Valpolicella",169,NA,750,225.33,"2010-12-14",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella","Italien","Cantine Riondo","Winepartners Nordic AB",2010,2010,"15%","FS",0,0,"Corvina. rondinella och molinara samt ovriga druvsorter.","10","9 ","10","Corvina.rondinella.och.molinara.samt.övriga.druvsorter","kryddig.fruktig.smak.inslag.mörka.körsbär.kanel.torkade.tranbär.choklad ","Kryddig.fruktig.doft.inslag.mörka.körsbär.kanel.svart.russin.choklad",99,2.25,6.33333333333333
"33",33,562,1237906,597060,12379,"Castelforte","Amarone della Valpolicella",319,NA,1500,212.67,"2011-08-15",NA,"Rott vin. Kryddigt & Mustigt","Magnum","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella","Italien","Cantine Riondo","Winepartners Nordic AB",2010,2010,"15%","FS",0,0,"Corvina. rondinella och molinara samt ovriga druvsorter.","10","9 ","10","Corvina.rondinella.och.molinara.samt.övriga.druvsorter","kryddig.fruktig.smak.inslag.mörka.körsbär.kanel.torkade.tranbär.choklad ","Kryddig.fruktig.doft.inslag.mörka.körsbär.kanel.svart.russin.choklad",99,2.25,6.33333333333333
"34",34,563,1238001,857512,12380,"Rendola Governo","",115,NA,750,153.33,"2014-09-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Toscana","Italien","Rendola Srl","The Wine Team",2012,2012,"14%","FSN",0,0,"75% sangiovese och 25% merlot.","10","8 ","9 ","75%.sangiovese.och.25%.merlot","smakrikt.fruktigt.fatkaraktär.inslag.plommon.choklad.körsbär.kryddor.romrussin.vanilj ","Nyanserad.fruktig.smak.fatkaraktär.inslag.plommon.mjölkchoklad.körsbär.kaffe.sötlakrits.vanilj",99,7.41666666666667,4.70833333333333
"35",35,564,1238501,11613,12385,"Zenato","Valpolicella Classico",127,NA,750,169.33,"1997-06-02",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Valpolicella Classico","Italien","Zenato","Hjo Grosshandel AB",2011,2011,"13.5%","FS",0,0,"70% corvina. 20% rondinella och 10% sangiovese.","9 ","8 ","9 ","70%.corvina.20%.rondinella.och.10%.sangiovese","nyanserad.kryddig.smak.inslag.mörka.körsbär.katrinplommon.salvia.tobak.choklad ","Nyanserad.kryddig.doft.inslag.mörka.körsbär.korinter.pinjenötter.viol.choklad",99,3.75,6.69444444444444
"36",36,565,1239901,848751,12399,"Sivas-Sonoma","Old Vine Zinfandel",149,NA,750,198.67,"2014-09-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Kalifornien. North Coast. Sonoma County","USA","Don Sebastiani & Sons","Sundance Wines AB",2011,2011,"15%","FSN",0,0,"87% zinfandel. 6% tannat. 4% petite sirah och 3% sangiovese.","9 ","8 ","9 ","87%.zinfandel.tannat.petite.sirah.och.sangiovese","nyanserad.fruktig.smak.fatkaraktär.inslag.björnbär.hallon.viol.mynta.kanel.vanilj ","Nyanserad.fruktig.doft.fatkaraktär.inslag.björnbär.hallon.viol.kanel.choklad.vanilj",99,3.75,6.69444444444444
"37",37,577,1250701,11560,12507,"Vila Santa","Reserva",99,NA,750,132,"2000-12-04",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Alentejo. Alentejano","Portugal","João Portugal Ramos","Hermansson & Co AB",2012,2012,"14%","FS",0,0,"Trincadeira. aragones. periquita. alicante bouschet och cabernet sauvignon.","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"38",38,578,1250702,810764,12507,"Vila Santa","Reserva",50,NA,375,133.33,"2013-12-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Alentejo. Alentejano","Portugal","João Portugal Ramos","Hermansson & Co AB",2012,2012,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"39",39,579,1250706,35329,12507,"Vila Santa","Reserva",199,NA,1500,132.67,"2002-08-05",NA,"Rott vin. Fruktigt & Smakrikt","Magnum","Naturkork","Alentejo. Alentejano","Portugal","João Portugal Ramos","Hermansson & Co AB",2012,2012,"14%","FS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"40",40,580,1250708,636159,12507,"Vila Santa","Reserva",275,NA,3000,91.67,"2011-12-28",NA,"Rott vin. Fruktigt & Smakrikt","Box","Vingtapp","Alentejo. Alentejano","Portugal","João Portugal Ramos","Hermansson & Co AB",2012,2012,"14%","FS",0,0,"Trincadeira. aragones. periquita. alicante bouschet och cabernet sauvignon.","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"41",41,582,1252001,12658,12520,"Dão","Casal Mor Reserva",49,NA,750,65.33,"1997-06-02",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Beiras. Dão","Portugal","Caves Primavera","Amka Vinimport AB",2012,NA,"12.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"42",42,586,1260101,11321,12601,"Conde de Valdemar","Gran Reserva",129,NA,750,172,"1996-09-16",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Rioja","Spanien","Bodegas Valdemar","Sigva AB",2005,2005,"13.5%","FS",0,0,"90% tempranillo och 10% mazuelo.","8 ","8 ","9 ","90%.tempranillo.och.10%.mazuelo","utvecklad.kryddig.nyanserad.smak.fatkaraktär.inslag.plommon.dill.mörka.körsbär.korinter.kakao.tobak ","Utvecklad.kryddig.nyanserad.doft.fatkaraktär.inslag.plommon.dill.korinter.choklad.tobak",99,NA,6.08333333333333
"43",43,589,1261301,12108,12613,"Pata Negra","Gran Reserva",99,NA,750,132,"1997-02-03",NA,"Rott vin","Flaska","Naturkork","Valdepeñas","Spanien","Bodegas Vinartis","Prime Wine Sweden AB",2005,2005,"13%","BS",0,0,"Tempranillo","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,NA,NA
"44",44,590,1261501,12483,12615,"Viña Herminia","",64,NA,750,85.33,"1997-09-01",NA,"Rott vin. Mjukt & Barigt","Flaska","Skruvkapsyl","Rioja","Spanien","Viña Herminia","janake wine group AB",2013,2013,"13.5%","FS",0,0,"Tempranillo 100%","5 ","5 ","9 ","Tempranillo.100%","bärig.aningen.kryddig.smak.inslag.blåbär.körsbär.lakrits ","Bärig.något.kryddig.doft.inslag.skogsbär.örter.lakrits",99,2.25,3.41666666666667
"45",45,592,1265501,848601,12655,"Stone Valley","Shiraz",69,NA,750,92,"2014-09-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Kalifornien","USA","Goldstone Land Company","Stellan Kramer AB",2013,2013,"13.5%","FSN",0,0,"90% shiraz. 5% zinfandel och 5% tannat.","8 ","7 ","9 ","90%.shiraz.zinfandel.och.tannat","mycket.fruktig.smak.inslag.björnbär.viol.blåbär.peppar.vanilj ","Mycket.fruktig.doft.inslag.björnbär.mynta.blåbär.svartpeppar",99,2.25,7.41666666666667
"46",46,593,1265901,31498,12659,"Conde de Valdemar","Crianza",79,NA,750,105.33,"2001-11-05",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Skruvkapsyl","Rioja","Spanien","Bodegas Valdemar","Sigva AB",2010,2010,"13.5%","FS",0,0,"Tempranillo 80% och mazuelo 20%","7 ","8 ","9 ","Tempranillo.80%.och.mazuelo.20%","kryddig.smak.fatkaraktär.inslag.körsbär.katrinplommon.vanilj.örter.choklad ","Kryddig.doft.fatkaraktär.inslag.torkade.körsbär.katrinplommon.choklad.örter.vanilj",99,2.25,4.70833333333333
"47",47,594,1266901,10304,12669,"Lagunilla","Crianza",69,NA,750,92,"1996-03-04",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Rioja","Spanien","Bodegas Lagunilla","United Wineries Sweden AB",2010,2010,"13.5%","FS",0,0,"80% tempranillo och 20% garnacha.","6 ","6 ","9 ","80%.tempranillo.och.20%.garnacha","utvecklad.kryddig.smak.inslag.torkade.körsbär.tobak.vanilj ","Utvecklad.kryddig.doft.inslag.torkade.körsbär.tobak.choklad",99,2.25,6.70833333333333
"48",48,595,1267001,10331,12670,"El Coto","Crianza",78,NA,750,104,"1996-05-20",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Skruvkapsyl","Rioja","Spanien","Bodegas El Coto","Spendrups Bryggeri AB",2010,2010,"13%","FS",0,0,"Tempranillo.","7 ","7 ","9 ","Ingen anged","kryddig.smak.fatkaraktär.inslag.körsbär.lakrits.vanilj ","Kryddig.doft.fatkaraktär.inslag.mörka.körsbär.vanilj.kanel",99,2.25,6.70833333333333
"49",49,596,1267002,14024,12670,"El Coto","Crianza",42,NA,375,112,"1997-09-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Rioja","Spanien","Bodegas El Coto","Spendrups Bryggeri AB",2010,2010,"12.5%","FS",0,0,"","7 ","7 ","9 ","Ingen anged","kryddig.smak.fatkaraktär.inslag.körsbär.lakrits.vanilj ","Kryddig.doft.fatkaraktär.inslag.mörka.körsbär.vanilj.kanel",99,2.25,6.70833333333333
