nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning,fyllighet,stravhet,fruktsyra,smak,doft
1201901,756075,12019,Kleine Zalze Vineyard Selection,Cabernet Sauvignon Barrel Matured,129,NA,750,172,2013-09-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Western Cape, Coastal Region, Stellenbosch",Sydafrika,Kleine Zalze,Winemarket Nordic AB,2011,2011,14.5%,FS,0,0,"85% cabernet sauvignon, 10% merlot och 5% petit verdot.",10,9,9,mycket fruktig.nyanserad.rostad fatkaraktar.svarta vinbar.plommon.mintchoklad.kaffe,fruktig.nyanserad.fatkaraktar.svarta vinbar.mintchoklad.plommon.kaffe
1203801,12163,12038,Drostdy-Hof,Cape Red Shiraz Merlot,69,NA,750,92,1997-03-03,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,Western Cape,Sydafrika,Drostdy Cellars,Bibendum,2013,2013,13.5%,FS,0,0,Shiraz och merlot.,5,5,9,barig.morka bar.orter.lakrits,barig.morka bar.lakrits.orter
1203808,24872,12038,Drostdy-Hof,Cape Red Shiraz Merlot,189,NA,3000,63,2000-10-02,NA,"Rott vin, Mjukt & Barigt",Box,Vridtapp,,Sydafrika,Drostdy Cellars,Bibendum,2013,2013,13.5%,FS,0,0,Shiraz och merlot.,5,5,9,barig.morka bar.orter.lakrits,barig.morka bar.lakrits.orter
1204401,238973,12044,Anura,Pinotage Syrah,79,NA,750,105.33,2007-04-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Western Cape, Coastal Region, Paarl, Simonsberg-Paarl",Sydafrika,Anura Vineyards,WineWorld AB,2013,2013,14.5%,FS,0,0,55% pinotage och 45% syrah.,8,7,9,mycket fruktig.nagot rokig.fatkaraktar.morka bar.plommon.lakrits.orter.kaffe,fruktig.nagot rokig.fatkaraktar.morka bar.plommon.lakrits.orter
1212001,735655,12120,Rowberry,Five Vine Selection,79,NA,750,105.33,2013-12-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Western Cape,Sydafrika,Zorgvliet Wines,Sundance Wines AB,2012,2012,14.5%,FS,0,0,"Cabernet sauvignon, merlot, cabernet franc, petit verdot och shiraz.",9,8,9,fruktig.fatkaraktar.morka bar.orter.plommon.vanilj.gras,fruktig.fatkaraktar.morka bar.orter.plommon.vanilj.rod paprika
1212601,368117,12126,Beronia,Viticultura Ecol�gica,89,NA,750,118.67,2009-04-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,Rioja,Spanien,Bodegas Beronia,Nigab,2012,2012,13.5%,FS,1,0,Tempranillo.,7,7,9,kryddig.fatkaraktar.morka korsbar.kryddnejlika.vanilj.choklad,kryddig.fatkaraktar.morka korsbar.jordgubbar.choklad.lakrits.vanilj
1215701,205747,12157,Foot of Africa,Shiraz Viognier,69,NA,750,92,2006-10-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Western Cape,Sydafrika,Kleine Zalze,Winemarket Nordic AB,2013,2013,14.5%,FS,0,0,95% shiraz och 5% viognier.,8,7,9,mycket fruktig.fat.morka bar.vanilj.choklad,fruktig.fat.bjornbar.plommon.choklad
1217401,190669,12174,Hidden Rock,Petit Verdot Cabernet Sauvignon,59,NA,750,78.67,2006-04-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,South Eastern Australia,Australien,Dominic Wines,Enjoy Wine & Spirits AB,2013,2013,13.5%,FS,0,0,75% petit verdot och 25% cabernet sauvignon.,7,6,9,mycket fruktig.blabar.svarta vinbar.sotlakrits.mynta,ungdomlig.fruktig.skogsbar.svarta vinbar.sotlakrits.mynta
1230008,215617,12300,Barone Ricasoli,Formulae,239,NA,3000,79.67,2006-10-02,NA,"Rott vin, Kryddigt & Mustigt",Box,Vingtapp,Toscana,Italien,Barone Ricasoli,WineWorld AB,2013,2013,12.5%,FS,0,0,Sangiovese.,7,7,9,kryddig.fat.morka korsbar.rosmarin.vanilj,kryddig.fat.morka korsbar.rosmarin.choklad
1230401,873520,12304,Lacrima di Morro d'Alba,Marotti Campi,80,NA,750,106.67,2014-12-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Marche, Lacrima di Morro d'Alba",Italien,Marotti Campi,Theisvine AB,2013,2013,13%,FSN,0,0,Lacrima.,7,7,9,nyanserad.kryddig.plommon.enetra.morka korsbar.lavendel.blabar.farska orter,nyanserad.nagot parfymerad.plommon.enetra.morka korsbar.lavendel.applen
1232401,34990,12324,Zenato,Ripassa,187,NA,750,249.33,2002-06-03,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Valpolicella Classico",Italien,Zenato,Hjo Grosshandel AB,2010,2010,14%,FS,0,0,"Corvina veronese 80 %, rondinella 10 % och sangiovese 10 %",9,9,9,kryddig.fatkaraktar.katrinplommon.morka korsbar.salvia.choklad,kryddig.fatkaraktar.russin.morka korsbar.salvia.kanel.vanilj
1233001,857333,12330,Brunello di Montalcino La Fuga,Tenute Folonari,279,NA,750,372,2014-09-01,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Toscana, Brunello di Montalcino",Italien,Folonari,Ward Wines AB,2009,2009,15%,FSN,0,0,Sangiovese.,10,10,10,nyanserad.nagot utvecklad.fatkaraktar.torkade korsbar.salvia.kakao.enetra,nyanserad.nagot utvecklad.fatkaraktar.torkade korsbar.salvia.nougat.plommon.enetra.vanilj
1234301,272067,12343,A,Amarone,219,NA,750,292,2007-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Alpha Zeta,Mondo Wine Sweden AB,2011,2011,15%,FS,0,0,"70% corvina veronese, 25% rondinella och 5% cabernet sauvignon.",10,10,10,kryddigt.rikt vin.fatkaraktar.torkade korsbar.romrussin.mork choklad.sandeltra.vanilj,stor.kryddig.fatkaraktar.korinter.romrussin.sandeltra.vanilj.mork choklad
1234302,272052,12343,A,Amarone,119,NA,375,317.33,2007-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Alpha Zeta,Mondo Wine Sweden AB,2011,2011,15%,FS,0,0,"70% corvina veronese, 25% rondinella och 5% cabernet sauvignon.",10,10,10,kryddigt.rikt vin.fatkaraktar.torkade korsbar.romrussin.mork choklad.sandeltra.vanilj,stor.kryddig.fatkaraktar.korinter.romrussin.sandeltra.vanilj.mork choklad
1235201,836742,12352,Ladero,Tempranillo,59,NA,750,78.67,2014-06-02,NA,Rott vin,Flaska,Skruvkapsyl,La Mancha,Spanien,Bodegas Centro Espa�olas,Divine AB,2013,2013,13.5%,FSN,0,0,Tempranillo.,6,5,8,fruktig.korsbar.bjornbar.farska orter.kryddor.sotlakrits,fruktig.korsbar.bjornbar.farska orter.sotlakrits
1235501,25032,12355,Inycon,Shiraz,75,NA,750,100,2000-10-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Sicilien,Italien,Inycon Estate,Nigab,2012,2012,14%,FS,0,0,Syrah.,7,6,9,generost fruktig.morka bar.lakrits.orter,generost fruktig.bjornbar.lakrits.vanilj
1235701,11070,12357,Brunello di Montalcino,Col d’Orcia,269,NA,750,358.67,1996-08-12,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Toscana, Brunello di Montalcino",Italien,Col d'Orcia,Carovin AB,2009,2009,14.5%,FS,0,0,Brunello (sangiovese grosso).,9,9,10,nyanserad.utvecklad.fatkaraktar.torkade korsbar.tobak.tranbar.choklad.salvia,nyanserad.utvecklad.fatkaraktar.torkade korsbar.choklad.roda bar.salvia
1235702,272743,12357,Brunello di Montalcino,,150,NA,375,400,2007-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Toscana, Brunello di Montalcino",Italien,Col d'Orcia,Carovin AB,2009,2009,14%,FS,0,0,Brunello (sangiovese grosso).,9,9,10,nyanserad.utvecklad.fatkaraktar.torkade korsbar.tobak.tranbar.choklad.salvia,nyanserad.utvecklad.fatkaraktar.torkade korsbar.choklad.roda bar.salvia
1236301,11255,12363,Amarone Classico,,195,NA,750,260,1996-09-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico",Italien,Ca' Montini,The WineAgency Sweden AB,2011,2011,15%,FS,0,0,"Corvina veronese, rondinella, molinara.",9,8,9,kryddig.aningen utvecklad.fat.torkade korsbar.mork choklad.pinjenotter.romrussin.orter,kryddig.utvecklad.fat.torkade korsbar.romrussin.choklad.vanilj.pinjenotter
1236302,166504,12363,Amarone Classico,,99,NA,375,264,2005-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico",Italien,Ca' Montini,The WineAgency Sweden AB,2011,2011,15%,FS,0,0,"Corvina veronese, rondinella, molinara.",9,8,9,kryddig.aningen utvecklad.fat.torkade korsbar.mork choklad.pinjenotter.romrussin.orter,kryddig.utvecklad.fat.torkade korsbar.romrussin.choklad.vanilj.pinjenotter
1236601,11261,12366,Capitel de'Roari,Amarone,189,NA,750,252,1996-10-07,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Luigi Righetti,janake wine group AB,2011,2011,15%,FS,0,0,,9,10,10,kryddig.aningen utvecklad.fatkaraktar.korsbar.blabar.salvia.korinter.kakao,kryddig.aningen utvecklad.fatkaraktar.torkade korsbar.russin.salvia.choklad.kanel
1236602,163432,12366,Capitel de'Roari,Amarone,95,NA,375,253.33,2005-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Luigi Righetti,janake wine group AB,2011,2011,15%,FS,0,0,,9,10,10,kryddig.aningen utvecklad.fatkaraktar.korsbar.blabar.salvia.korinter.kakao,kryddig.aningen utvecklad.fatkaraktar.torkade korsbar.russin.salvia.choklad.kanel
1237801,15603,12378,Prego Rosso,,59,NA,1000,59,1998-05-04,NA,"Rott vin, Mjukt & Barigt",Papp,,,Italien,Cantine Settesoli,Nigab,NA,NA,13.5%,FS,0,0,,5,4,9,barig.morka bar.korsbar..vanilj,barig.morka bar.lakrits
1237901,545091,12379,Castelforte,Amarone della Valpolicella,169,NA,750,225.33,2010-12-14,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Cantine Riondo,Winepartners Nordic AB,2010,2010,15%,FS,0,0,"Corvina, rondinella och molinara samt ovriga druvsorter.",10,9,10,kryddig.fruktig.fat.morka korsbar.kanel.torkade tranbar.choklad,kryddig.fruktig.fat.morka korsbar.kanel.svart te.russin.choklad
1237906,597060,12379,Castelforte,Amarone della Valpolicella,319,NA,1500,212.67,2011-08-15,NA,"Rott vin, Kryddigt & Mustigt",Magnum,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Cantine Riondo,Winepartners Nordic AB,2010,2010,15%,FS,0,0,"Corvina, rondinella och molinara samt ovriga druvsorter.",10,9,10,kryddig.fruktig.fat.morka korsbar.kanel.torkade tranbar.choklad,kryddig.fruktig.fat.morka korsbar.kanel.svart te.russin.choklad
1238001,857512,12380,Rendola Governo,,115,NA,750,153.33,2014-09-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Toscana,Italien,Rendola Srl,The Wine Team,2012,2012,14%,FSN,0,0,75% sangiovese och 25% merlot.,10,8,9,rikt.fruktigt vin.fatkaraktar.plommon.choklad.korsbar.kryddor.romrussin.vanilj,nyanserad.fruktig.fatkaraktar.plommon.mjolkchoklad.korsbar.kaffe.sotlakrits.vanilj
1238501,11613,12385,Zenato,Valpolicella Classico,127,NA,750,169.33,1997-06-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Valpolicella Classico",Italien,Zenato,Hjo Grosshandel AB,2011,2011,13.5%,FS,0,0,"70% corvina, 20% rondinella och 10% sangiovese.",9,8,9,nyanserad.kryddig.fat.morka korsbar.katrinplommon.salvia.tobak.choklad,nyanserad.kryddig.fat.morka korsbar.korinter.pinjenotter.viol.choklad
1239901,848751,12399,Sivas-Sonoma,Old Vine Zinfandel,149,NA,750,198.67,2014-09-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Kalifornien, North Coast, Sonoma County",USA,Don Sebastiani & Sons,Sundance Wines AB,2011,2011,15%,FSN,0,0,"87% zinfandel, 6% tannat, 4% petite sirah och 3% sangiovese.",9,8,9,nyanserad.fruktig.fatkaraktar.bjornbar.hallon.viol.mynta.kanel.vanilj,nyanserad.fruktig.fatkaraktar.bjornbar.hallon.viol.kanel.choklad.vanilj
1250701,11560,12507,Vila Santa,Reserva,99,NA,750,132,2000-12-04,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Alentejo, Alentejano",Portugal,Jo�o Portugal Ramos,Hermansson & Co AB,2012,2012,14%,FS,0,0,"Trincadeira, aragones, periquita, alicante bouschet och cabernet sauvignon.",inte testat,inte testat,inte testat,inte testat,inte testat
1250706,35329,12507,Vila Santa,Reserva,199,NA,1500,132.67,2002-08-05,NA,"Rott vin, Fruktigt & Smakrikt",Magnum,Naturkork,"Alentejo, Alentejano",Portugal,Jo�o Portugal Ramos,Hermansson & Co AB,2012,2012,14%,FS,0,0,,inte testat,inte testat,inte testat,inte testat,inte testat
1250708,636159,12507,Vila Santa,Reserva,275,NA,3000,91.67,2011-12-28,NA,"Rott vin, Fruktigt & Smakrikt",Box,Vingtapp,"Alentejo, Alentejano",Portugal,Jo�o Portugal Ramos,Hermansson & Co AB,2012,2012,14%,FS,0,0,"Trincadeira, aragones, periquita, alicante bouschet och cabernet sauvignon.",inte testat,inte testat,inte testat,inte testat,inte testat
1260101,11321,12601,Conde de Valdemar,Gran Reserva,129,NA,750,172,1996-09-16,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Bodegas Valdemar,Sigva AB,2005,2005,13.5%,FS,0,0,90% tempranillo och 10% mazuelo.,8,8,9,utvecklad.kryddig.nyanserad.fatkaraktar.plommon.dill.morka korsbar.korinter.kakao.tobak,utvecklad.kryddig.nyanserad.fatkaraktar.plommon.dill.korinter.choklad.tobak
1261501,12483,12615,Vi�a Herminia,,64,NA,750,85.33,1997-09-01,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,Rioja,Spanien,Vi�a Herminia,janake wine group AB,2013,2013,13.5%,FS,0,0,Tempranillo 100%,5,5,9,barig.aningen kryddig.blabar.korsbar.lakrits,barig.nagot kryddig.skogsbar.orter.lakrits
1265501,848601,12655,Stone Valley,Shiraz,69,NA,750,92,2014-09-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Kalifornien,USA,Goldstone Land Company,Stellan Kramer AB,2013,2013,13.5%,FSN,0,0,"90% shiraz, 5% zinfandel och 5% tannat.",8,7,9,mycket fruktig.fat.bjornbar.viol.blabar.peppar.vanilj,mycket fruktig.fat.bjornbar.mynta.blabar.svartpeppar
1265901,31498,12659,Conde de Valdemar,Crianza,79,NA,750,105.33,2001-11-05,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,Rioja,Spanien,Bodegas Valdemar,Sigva AB,2010,2010,13.5%,FS,0,0,Tempranillo 80% och mazuelo 20%,7,8,9,kryddig.fatkaraktar.korsbar.katrinplommon.vanilj.orter.choklad,kryddig.fatkaraktar.torkade korsbar.katrinplommon.choklad.orter.vanilj
1266901,10304,12669,Lagunilla,Crianza,69,NA,750,92,1996-03-04,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Bodegas Lagunilla,United Wineries Sweden AB,2010,2010,13.5%,FS,0,0,80% tempranillo och 20% garnacha.,6,6,9,utvecklad.kryddig.fat.torkade korsbar.tobak.vanilj,utvecklad.kryddig.fat.torkade korsbar.tobak.choklad
1267001,10331,12670,El Coto,Crianza,78,NA,750,104,1996-05-20,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,Rioja,Spanien,Bodegas El Coto,Spendrups Bryggeri AB,2010,2010,13%,FS,0,0,Tempranillo.,7,7,9,kryddig.fatkaraktar.korsbar.lakrits.vanilj,kryddig.fatkaraktar.morka korsbar.vanilj.kanel
1267002,14024,12670,El Coto,Crianza,42,NA,375,112,1997-09-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Bodegas El Coto,Spendrups Bryggeri AB,2010,2010,12.5%,FS,0,0,,7,7,9,kryddig.fatkaraktar.korsbar.lakrits.vanilj,kryddig.fatkaraktar.morka korsbar.vanilj.kanel
1267901,338837,12679,Lat 42,Gran Reserva,99,NA,750,132,2008-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Torre de O�a,Winepartners Nordic AB,2004,2004,13%,FS,0,0,Tempranillo.,8,8,9,mogen.kryddig.fatkaraktar.dill.torkade korsbar.korinter.tobak.choklad.sandeltra,mogen.kryddig.ursprungstypisk.fatkaraktar.dill.torkade korsbar.choklad.notter.tobak
1269701,11305,12697,Torres Gran Coronas,Cabernet Sauvignon Reserva,99,NA,750,132,1996-09-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Pened�s,Spanien,Miguel Torres,Miguel Torres,2010,2010,14%,FS,0,0,85% cabernet sauvignon och 15% tempranillo.,8,8,9,fruktig.aningen utvecklad.fatkaraktar.svarta vinbar.katrinplommon.choklad.tobak,fruktig.aningen utvecklad.fatkaraktar.svarta vinbar.katrinplommon.kaffe.choklad.tobak
1275501,14540,12755,Torres San Valent�n,Garnacha,65,NA,750,86.67,1998-04-06,NA,"Rott vin, Mjukt & Barigt",Flaska,Naturkork,Catalunya,Spanien,Miguel Torres,Miguel Torres,2013,2013,14%,FS,1,0,Garnacha.,5,4,9,ungdomlig.barig.korsbar.bjornbar.sotlakrits,ungdomlig.barig.korsbar.bjornbar.lakrits
1276801,735658,12768,Bosman,Adama,119,NA,750,158.67,2013-12-02,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Western Cape, Coastal Region, Paarl, Wellington",Sydafrika,Bosman Family Wines,Mondo Wine Sweden AB,2013,2013,14.5%,FS,0,0,80% shiraz och 20% mourv�dre.,10,9,9,fruktig.nyanserad.fatkaraktar.bjornbar.tobak.plommon.peppar.kaffe.kakao,nyanserad.fatkaraktar.bjornbar.tobak.plommon.mork choklad.kaffe
1279701,15535,12797,Castillo de Gredos,Red Wine,55,NA,1000,55,1998-05-04,NA,"Rott vin, Mjukt & Barigt",Papp,,,Spanien,Bodegas Vinartis,Prime Wine Sweden AB,NA,NA,13%,FS,0,0,,3,3,8,brand.aningen karv.mogna.roda bar,aningen brand.syltig.mogna roda bar
1279708,22289,12797,Castillo de Gredos,Red Wine,129,NA,3000,43,2000-02-07,NA,"Rott vin, Mjukt & Barigt",Box,Vingtapp,,Spanien,Bodegas Vinartis,Prime Wine Sweden AB,NA,NA,13%,FS,0,0,,3,3,8,brand.aningen karv.mogna.roda bar,aningen brand.syltig.mogna roda bar
1279901,15635,12799,Muriel,Vendimia Seleccionada,69,NA,750,92,1998-06-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Bodegas Muriel,Giertz Vinimport AB,NA,NA,12.5%,FS,0,0,Tempranillo.,7,6,8,moget vin.fat.torkad frukt.vanilj,utvecklad.fat.torkad frukt.vanilj.lader
1280401,13077,12804,R�serve de la Condamine,,69,NA,750,92,1997-05-20,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Languedoc-Roussillon, Fitou",Frankrike,Mont Tauch,janake wine group AB,2013,2013,13%,FS,0,0,"Grenache, carignan och syrah.",7,7,9,fruktig.fat.blabar.slanbar.orter.lakrits,fruktig.fat.skogshallon.muskot.lakrits
1280801,14681,12808,JP Chenet,Cabernet-Syrah,59,NA,750,78.67,1998-01-05,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,"Languedoc-Roussillon, VdP d'Oc",Frankrike,JP Chenet,Stellan Kramer AB,2013,2013,13%,FS,0,0,Cabernet sauvignon och syrah.,5,5,9,barig.skogsbar.vanilj.lakrits,barig.skogsbar.vanilj.orter
1280802,43233,12808,JP Chenet,Cabernet-Syrah,36,NA,375,96,2003-10-06,NA,"Rott vin, Mjukt & Barigt",Flaska,,"Languedoc-Roussillon, VdP d'Oc",Frankrike,JP Chenet,Stellan Kramer AB,2013,2013,13%,FS,0,0,Cabernet sauvignon och syrah.,5,5,9,barig.skogsbar.vanilj.lakrits,barig.skogsbar.vanilj.orter
1280804,17086,12808,JP Chenet,Cabernet-Syrah,26,NA,250,104,1999-01-01,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,"Languedoc-Roussillon, VdP d'Oc",Frankrike,JP Chenet,Stellan Kramer AB,2013,2013,13%,FS,0,0,Cabernet sauvignon och syrah.,5,5,9,barig.skogsbar.vanilj.lakrits,barig.skogsbar.vanilj.orter
1280808,13473,12808,JP Chenet,Cabernet-Syrah,184,NA,3000,61.33,1997-07-07,NA,"Rott vin, Mjukt & Barigt",Box,Tryckknapp front,"Languedoc-Roussillon, VdP d'Oc",Frankrike,JP Chenet,Stellan Kramer AB,2013,2013,13%,FS,0,0,Cabernet sauvignon och syrah.,5,5,9,barig.skogsbar.vanilj.lakrits,barig.skogsbar.vanilj.orter
1289008,43331,12890,Cape Original,Shiraz Cabernet Sauvignon,189,NA,3000,63,2004-05-03,NA,"Rott vin, Mjukt & Barigt",Box,Vridtapp,Western Cape,Sydafrika,Origin Wine,Origin Nordic,2014,2014,13%,FS,1,0,60% shiraz och 40% cabernet sauvignon.,5,5,9,barig.blabar.bjornbar.lakrits.orter,barig.blabar.svarta vinbar.sotlakrits.orter
1298601,43321,12986,Graham Beck,Shiraz Cabernet Sauvignon,67,NA,750,89.33,2003-11-03,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Western Cape,Sydafrika,Graham Beck,Prime Wine Sweden AB,2012,2012,14.5%,FS,0,0,60% shiraz och 40% cabernet sauvignon.,8,7,9,mycket fruktig.fat.morka bar.rosmarin.peppar.choklad,mycket fruktig.aningen rokig.fat.morka bar.rosmarin.choklad
